A: B7 F: 10 B: 01 C: 10 D: C0 E: 11 H: 40 L: 11 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 11 H: 40 L: 12 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 11 H: 40 L: 12 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 12 H: 40 L: 12 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 12 H: 40 L: 12 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: F5 F: 10 B: 01 C: 10 D: C0 E: 12 H: 40 L: 13 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: F5 F: 10 B: 01 C: 10 D: C0 E: 12 H: 40 L: 13 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: F5 F: 10 B: 01 C: 10 D: C0 E: 13 H: 40 L: 13 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: F5 F: 10 B: 01 C: 10 D: C0 E: 13 H: 40 L: 13 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 13 H: 40 L: 14 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 13 H: 40 L: 14 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 14 H: 40 L: 14 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 14 H: 40 L: 14 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: DF F: 10 B: 01 C: 10 D: C0 E: 14 H: 40 L: 15 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: DF F: 10 B: 01 C: 10 D: C0 E: 14 H: 40 L: 15 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: DF F: 10 B: 01 C: 10 D: C0 E: 15 H: 40 L: 15 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: DF F: 10 B: 01 C: 10 D: C0 E: 15 H: 40 L: 15 SP: FFFE PC: 00:0206 (2A 12 1C 20)
